id,BoiNWL200606220
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2006/06/22
play,8,0,445184,,,7/F
play,8,0,463691,,,S4/G
play,8,0,501915,,,FC4/G.1X2(46);B-1
play,8,0,501798,,,9/F
play,8,1,469141,,,NP
sub,460143,Peter Duda,0,0,1
play,8,1,469141,,,D7/L
play,8,1,501865,,,S8/G.2-H
play,8,1,469196,,,D9/G.1-3
play,8,1,502125,,,S4/G.2-3;3-H
play,8,1,453183,,,13/G.1-2
play,8,1,444453,,,T8/L.2-H;3-H
play,8,1,448293,,,S8/F.3-H
play,8,1,502182,,,WP.1-2
play,8,1,502182,,,W
play,8,1,467061,,,HP.1-2;2-3
play,8,1,469141,,,3/PF
play,8,1,501865,,,FC6/G.1X2(6)
play,9,0,503350,,,NP
sub,503352,Rocky Roquet,1,0,1
play,9,0,503350,,,HP
play,9,0,489383,,,K
play,9,0,445191,,,K
play,9,0,493631,,,K
id,BoiNWL200607030
info,visteam,YakNWL
info,hometeam,BoiNWL
info,date,2006/07/03
start,489383,Travis Tully,0,1,7
start,501915,Shane Byrne,0,2,9
start,493631,Joey Side,0,3,8
start,458088,Cyle Hankerd,0,4,10
start,445184,Lester Contreras,0,5,3
start,463691,Jose Dilone,0,6,5
start,489712,Mike DeCarlo,0,7,2
start,458117,Blake Sharpe,0,8,6
start,445191,Joseph Batten,0,9,4
start,446893,Shane Dove,0,0,1
start,501865,Matt Camp,1,1,8
start,469196,Sammy Baez,1,2,6
start,502125,Tyler Colvin,1,3,7
start,444453,Russell Canzler,1,4,3
start,448293,Alfred Joseph,1,5,9
start,453341,Joshua Lansford,1,6,10
start,502182,Steven Clevenger,1,7,4
start,501795,Matt Matulia,1,8,5
start,501830,Matthew Canepa,1,9,2
start,473240,Jose Pina,1,0,1
play,1,0,489383,,,43/G
play,1,0,501915,,,K
play,1,0,493631,,,63/G
play,1,1,501865,,,E1
play,1,1,469196,,,BK.1-2
