id,WisMDW200604060
info,visteam,PeoMDW
info,hometeam,WisMDW
info,date,2006/04/06
play,1,1,489818,,,PB.1-2
play,1,1,489818,,,W
play,1,1,489279,,,K
play,1,1,472528,,,3/G
play,2,0,444127,,,53/G
play,2,0,445962,,,E4
play,2,0,489148,,,S9/F.1-3
play,2,0,446082,,,S7/F.1-2;3-H
play,2,0,458923,,,543/G5.1-2;2-3
play,2,0,488795,,,S9/L.2-H;3-H;BX2(96)
play,2,1,488897,,,7/F
play,2,1,466307,,,3/G
play,2,1,451587,,,13/BG
play,3,0,456483,,,43/G
play,3,0,444480,,,7/F
play,3,0,456596,,,W
play,3,0,444127,,,K
play,3,1,452727,,,W
play,3,1,490563,,,FC6/G.1X2(64);B-1
play,3,1,459431,,,SB2
play,3,1,459431,,,13/G.2-3
play,3,1,489818,,,9/F
play,4,0,445962,,,8/F
play,4,0,489148,,,13/G
play,4,0,446082,,,K
play,4,1,489279,,,3/G
play,4,1,472528,,,D8/F
play,4,1,488897,,,K
play,4,1,466307,,,31/G
play,5,0,458923,,,7/F
play,5,0,488795,,,7/F
play,5,0,456483,,,K23
play,5,1,451587,,,K
play,5,1,452727,,,D9/G
play,5,1,490563,,,9/F
play,5,1,459431,,,S8/L.2-H;B-2
play,5,1,489818,,,53/G
play,6,0,444480,,,63/G
play,6,0,456596,,,W
play,6,0,444127,,,CS2
play,6,0,444127,,,S6/G
play,6,0,445962,,,8/F
play,6,1,489279,,,NP
sub,489569,Daniel Hawkins,0,0,1
play,6,1,489279,,,S9/F
play,6,1,472528,,,K+SB2;1-3(E2/TH)
play,6,1,488897,,,K
play,6,1,466307,,,T8/F.3-H
play,6,1,451587,,,K
play,7,0,489148,,,NP
sub,475746,Jeffrey Gilmore,1,0,1
play,7,0,489148,,,7/L
play,7,0,446082,,,W
play,7,0,458923,,,SB2
play,7,0,458923,,,3/P
play,7,0,488795,,,K23
play,7,1,452727,,,S9/L
play,7,1,490563,,,CS2
play,7,1,490563,,,63/G
play,7,1,459431,,,8/F
play,8,0,456483,,,43/G
play,8,0,444480,,,7/F
play,8,0,456596,,,D8/L
play,8,0,444127,,,S5/G.2-3
play,8,0,445962,,,NP
sub,465599,Edgar Guaramato,1,0,1
play,8,0,445962,,,SB2
play,8,0,445962,,,53/G
play,8,1,489818,,,NP
sub,457001,Timothy Didjurgis,0,0,1
play,8,1,489818,,,D8/F
play,8,1,489279,,,HP
play,8,1,472528,,,5/BP
play,8,1,488897,,,K
play,8,1,466307,,,FC6/G.1X2(64)
play,9,0,489148,,,63/G
play,9,0,446082,,,W
play,9,0,458923,,,FC6/G.1X2(64);B-1
play,9,0,488795,,,CS2
play,9,1,451587,,,K
play,9,1,452727,,,K23
play,9,1,490563,,,D8/L
play,9,1,459431,,,W
play,9,1,489818,,,NP
sub,489570,Tim Mattison,0,0,1
play,9,1,489818,,,W.1-2;2-3
play,9,1,489279,,,FC6/G.1X2(64)
id,WisMDW200604150
info,visteam,CedMDW
info,hometeam,WisMDW
