id,KinCAR200504080
info,visteam,WinCAR
info,hometeam,KinCAR
info,date,2005/04/08
play,3,0,461257,,,FC4/G.1X2(46);B-1
play,3,0,458902,,,D7/L.1-H
play,3,0,451506,,,S6/G.2-3
play,3,0,445945,,,K
play,3,1,444514,,,9/F
play,3,1,449775,,,W
play,3,1,430957,,,64(1)3/GDP/G6
play,4,0,452658,,,4/P
play,4,0,458665,,,63/G
play,4,0,456390,,,8/F
play,4,1,450260,,,7/L
play,4,1,457830,,,5/L
play,4,1,444515,,,6/P
play,5,0,445587,,,31/G
play,5,0,457881,,,W
play,5,0,461257,,,FC5/G.1X2(54);B-1
play,5,0,458902,,,9/F
play,5,1,430955,,,HR/F
play,5,1,453892,,,53/G
play,5,1,452967,,,K
play,5,1,444514,,,8/F
play,6,0,451506,,,NP
sub,460592,Dan Eisentrager,1,0,1
play,6,0,451506,,,43/G
play,6,0,445945,,,31/G
play,6,0,452658,,,K
play,6,1,449775,,,9/F
play,6,1,430957,,,HR/F
play,6,1,450260,,,HR/F
play,6,1,457830,,,NP
sub,449098,Barry Hertzler,0,0,1
play,6,1,457830,,,S8/G
play,6,1,444515,,,S9/G.1-2
play,6,1,430955,,,W.1-2;2-3
play,6,1,453892,,,HR/F.1-H;2-H;3-H
play,6,1,452967,,,K
play,6,1,444514,,,K
play,7,0,458665,,,8/F
play,7,0,456390,,,D9/L
play,7,0,445587,,,3/G.2-3
play,7,0,457881,,,K
play,7,1,449775,,,53/G
play,7,1,430957,,,43/G
play,7,1,450260,,,K23
play,8,0,461257,,,NP
sub,452711,Ricardo Rojas,1,1,7
play,8,0,461257,,,13/G
play,8,0,458902,,,K
play,8,0,451506,,,5/PF
play,8,1,457830,,,63/G
play,8,1,444515,,,S8/L
play,8,1,430955,,,K
play,8,1,453892,,,K
play,9,0,445945,,,NP
sub,450348,Jim Ed Warden,1,0,1
play,9,0,445945,,,W
play,9,0,452658,,,S6/G.1-2
play,9,0,458665,,,9/F
play,9,0,456390,,,K
play,9,0,445587,,,6/P
id,KinCAR200504210
info,visteam,MyrCAR
info,hometeam,KinCAR
info,date,2005/04/21
start,452671,Diory Hernandez,0,1,6
start,445988,Martin Prado,0,2,4
start,455159,Josh Burrus,0,3,7
start,452169,Matt Esquivel,0,4,8
start,454570,Scott Schade,0,5,3
start,457454,Jarrod Saltalamacchia,0,6,2
start,457853,Steve Doetsch,0,7,9
start,458969,Alonzo Ruelas,0,8,10
start,446871,Jaime Trejo,0,9,5
start,457461,Sean White,0,0,1
start,444514,Nathan Panther,1,1,7
start,471808,Chris De La Cruz,1,2,6
start,444515,Shaun Larkin,1,3,5
start,450260,Kevin Kouzmanoff,1,4,2
start,453892,Ryan Mulhern,1,5,3
start,457830,Ryan Goleski,1,6,9
start,444340,Micah Schilling,1,7,4
start,446897,Caleb Brock,1,8,2
start,452711,Ricardo Rojas,1,9,8
start,407896,Billy Traber,1,0,1
play,1,0,452671,,,53/G
play,1,0,445988,,,43/G
play,1,0,455159,,,K
play,1,1,444514,,,43/G
