id,WisMDW200505060
info,visteam,DayMDW
info,hometeam,WisMDW
info,date,2005/05/06
play,9,0,460686,,,8/F
play,9,0,457133,,,53/G
play,9,0,461838,,,K
play,9,1,453963,,,NP
sub,460275,Collin Mahoney,0,0,1
play,9,1,453963,,,K
play,9,1,444125,,,K
play,9,1,452678,,,S3/G
play,9,1,453444,,,W.1-2
play,9,1,453531,,,3/PF
id,WisMDW200505110
info,visteam,WesMDW
info,hometeam,WisMDW
info,date,2005/05/11
start,460686,Brooks Colvin,0,1,4
start,457133,Wilkin Ramirez,0,2,10
start,457808,Jody Roughton,0,3,3
start,459438,Brent Dlugach,0,4,6
start,455095,Jeffrey Frazier,0,5,7
start,448226,Luis Sabino,0,6,9
start,454579,Nick McIntyre,0,7,5
start,447770,Justin Justice,0,8,8
start,448767,Dusty Ryan,0,9,2
start,448249,Dallas Trahern,0,0,1
start,464281,Oswaldo Navarro,1,1,6
start,453444,Joshua Womack,1,2,8
start,472594,Yung Chi Chen,1,3,5
start,452678,Asdrubal Cabrera,1,4,4
start,449168,Matt Tuiasosopo,1,5,10
start,451573,Sebastien Boucher,1,6,9
start,453963,Thomas Hubbard,1,7,3
start,460663,Omar Falcon,1,8,2
start,445164,Brent Johnson,1,9,7
start,448760,Jason Snyder,1,0,1
play,1,0,460686,,,E6/TH
play,1,0,457133,,,WP.1-2
play,1,0,457133,,,E6.2-3
play,1,0,457808,,,46(1)3/GDP/G4.3-H
play,1,0,459438,,,3/G
play,1,1,464281,,,D7/L
play,1,1,453444,,,K
play,1,1,472594,,,1/P
play,1,1,452678,,,W
play,1,1,449168,,,K
play,2,0,455095,,,3/PF
play,2,0,448226,,,K
play,2,0,454579,,,43/G
play,2,1,451573,,,W
play,2,1,453963,,,SB2
play,2,1,453963,,,W
play,2,1,460663,,,W.1-2;2-3
play,2,1,445164,,,43/G.1-2;2-3;3-H
play,2,1,464281,,,E6.2-3;3-H
play,2,1,453444,,,5/PF
play,2,1,472594,,,5/L
play,3,0,447770,,,K
play,3,0,448767,,,D8/L
play,3,0,460686,,,53/G
play,3,0,457133,,,43/G
play,3,1,452678,,,43/G
play,3,1,449168,,,K
play,3,1,451573,,,K
play,4,0,457808,,,43/G
play,4,0,459438,,,K
play,4,0,455095,,,6/PF
play,4,1,453963,,,31/G
play,4,1,460663,,,63/G
play,4,1,445164,,,43/G
play,5,0,448226,,,8/F
play,5,0,454579,,,K
play,5,0,447770,,,K
play,5,1,464281,,,43/G
play,5,1,453444,,,9/F
play,5,1,472594,,,K
play,6,0,448767,,,K
play,6,0,460686,,,W
play,6,0,457133,,,64(1)3/GDP/G6
play,6,1,452678,,,63/G
play,6,1,449168,,,S7/G
play,6,1,451573,,,E6.1-3
play,6,1,453963,,,S7/L.1-2;3-H
play,6,1,460663,,,NP
sub,453969,Daniel Konecny,0,0,1
play,6,1,460663,,,FC6/G.1X2(64);2-3;B-1
play,6,1,445164,,,FC6/G.1X2(64)
play,7,0,457808,,,3/G
play,7,0,459438,,,53/G
play,7,0,455095,,,43/G
play,7,1,464281,,,K23
play,7,1,453444,,,7/F
play,7,1,472594,,,S7/L
play,7,1,452678,,,SB2
play,7,1,452678,,,S7/L.2-H;B-2
play,7,1,449168,,,8/F
play,8,0,448226,,,S9/G
play,8,0,454579,,,K
play,8,0,447770,,,4(1)3/G4/GDP
play,8,1,451573,,,NP
sub,444849,Jay Sborz,0,0,1
play,8,1,451573,,,K
play,8,1,453963,,,8/F
play,8,1,460663,,,K
play,9,0,448767,,,NP
sub,448220,Cibney Bello,1,0,1
play,9,0,448767,,,4/P
play,9,0,460686,,,HP
play,9,0,457133,,,K
play,9,0,457808,,,53/G
id,WisMDW200505120
info,visteam,WesMDW
info,hometeam,WisMDW
info,date,2005/05/12
start,460686,Brooks Colvin,0,1,4
start,457133,Wilkin Ramirez,0,2,5
start,455095,Jeffrey Frazier,0,3,7
start,459438,Brent Dlugach,0,4,6
start,465777,Matt Parrish,0,5,10
start,448226,Luis Sabino,0,6,9
start,461838,Josh Lee,0,7,3
start,448767,Dusty Ryan,0,8,2
start,447770,Justin Justice,0,9,8
start,452053,Joshua Kauten,0,0,1
start,464281,Oswaldo Navarro,1,1,4
start,453444,Joshua Womack,1,2,8
start,453531,Robert Johnson,1,3,2
start,452678,Asdrubal Cabrera,1,4,6
start,472594,Yung Chi Chen,1,5,5
start,453963,Thomas Hubbard,1,6,10
start,462523,Brandon Green,1,7,3
start,444125,Michael Wilson,1,8,9
start,456698,Jack Arroyo,1,9,7
start,458259,Casey Abrams,1,0,1
play,1,0,460686,,,W
play,1,0,457133,,,54(1)3/GDP/G5
play,1,0,455095,,,W
play,1,0,459438,,,4/P
play,1,1,464281,,,D7/G
play,1,1,453444,,,D9/F.2-H
play,1,1,453531,,,S7/G.2-H
play,1,1,placeholder,,,OA.1X2(26)
play,1,1,452678,,,K
play,1,1,472594,,,63/G
play,2,0,465777,,,63/G
play,2,0,448226,,,K
play,2,0,461838,,,7/F
play,2,1,453963,,,5/PF
play,2,1,462523,,,43/G
play,2,1,444125,,,HP
play,2,1,456698,,,13/BP
play,3,0,448767,,,8/F
play,3,0,447770,,,53/G
play,3,0,460686,,,4/P
play,3,1,464281,,,4/P
play,3,1,453444,,,7/F
play,3,1,453531,,,63/G
play,4,0,457133,,,7/F
play,4,0,455095,,,53/G
play,4,0,459438,,,6/P
play,4,1,452678,,,9/F
play,4,1,472594,,,63/G
play,4,1,453963,,,S9/G
