id,BluAPP200606281
info,visteam,EliAPP
info,hometeam,BluAPP
info,date,2006/06/28
play,1,1,488780,,,64(1)3/GDP/G6
play,2,0,445054,,,D7/F
play,2,0,501850,,,E6.2-3
play,2,0,458943,,,S7/F.1-2;3-H
play,2,0,502742,,,3/SH.1-2;2-3
play,2,0,475439,,,S4/G.2-3;3-H
play,2,0,444481,,,64(1)3/GDP/G6
play,2,1,502664,,,7/F
play,2,1,502335,,,W
play,2,1,489762,,,43/G.1-2
play,2,1,502351,,,K
play,3,0,491904,,,NP
sub,447835,Andrew Schindling,1,0,1
play,3,0,491904,,,43/G
play,3,0,445162,,,E4/TH
play,3,0,458054,,,E5.1-2
play,3,0,445054,,,CS3
play,3,0,445054,,,K
play,3,1,503484,,,43/G
play,3,1,465753,,,8/F
play,3,1,463717,,,K
play,4,0,501850,,,13/G
play,4,0,458943,,,43/G
play,4,0,502742,,,S7/F
play,4,0,475439,,,K
play,4,1,462984,,,7/F
play,4,1,488780,,,S8/F
play,4,1,502664,,,FC4/G.1X2(46);B-1
play,4,1,502335,,,FC5/G.1X2(54)
play,5,0,444481,,,K
play,5,0,491904,,,43/G
play,5,0,445162,,,S7/G
play,5,0,458054,,,7/F
play,5,1,489762,,,E6/TH.B-2
play,5,1,502351,,,63/G.2-3
play,5,1,503484,,,8/SF.3-H
play,5,1,465753,,,43/G
play,6,0,445054,,,K
play,6,0,501850,,,43/G
play,6,0,458943,,,7/F
play,6,1,463717,,,63/G
play,6,1,462984,,,K23
play,6,1,488780,,,K
play,7,0,502742,,,13/G
play,7,0,475439,,,W
play,7,0,444481,,,FC6/G.1X2(64);B-1
play,7,0,491904,,,PO1(E?).1-2
play,7,0,491904,,,CS3
play,7,1,502664,,,NP
sub,459986,Edgar Ramirez,0,0,1
play,7,1,502664,,,8/F
play,7,1,502335,,,W
play,7,1,489762,,,PB.1-2
play,7,1,489762,,,W
play,7,1,placeholder,,,NP
sub,470459,Winter Polo,1,7,12
play,7,1,502351,,,13/G.1-2;2-3
play,7,1,503484,,,S8/F.2-H;3-H
id,BluAPP200607070
info,visteam,KinAPP
info,hometeam,BluAPP
info,date,2006/07/07
start,444481,Emmanuel Garcia,0,1,6
start,462111,Alejandro Zuaznabar,0,2,5
start,445162,Sean Henry,0,3,8
