id,BilPIO200506270
info,visteam,GrePIO
info,hometeam,BilPIO
info,date,2005/06/27
play,4,0,457937,,,S8/L.1-3(E8)(E8)
play,4,0,489712,,,S8/G.1-2;3-H
play,4,0,465674,,,SH.1-2;2-3;B-1
play,4,0,460700,,,S7/G.1-2;2-3;3-H
play,4,0,445191,,,WP.1-2;2-3;3-H
play,4,0,445191,,,63/G
play,4,0,453029,,,6/P
play,4,0,459928,,,K
play,4,1,488826,,,W
play,4,1,489152,,,WP.1-2
play,4,1,489152,,,63/G.2-3
play,4,1,454653,,,K
play,4,1,461343,,,63/G
play,5,0,458693,,,NP
sub,446245,David Wilson,1,0,1
play,5,0,458693,,,K
play,5,0,456795,,,E6
play,5,0,457937,,,S8/G.1-2
play,5,0,489712,,,54(1)3/GDP/G5
play,5,1,458246,,,63/G
play,5,1,488715,,,K
play,5,1,452325,,,8/F
play,6,0,465674,,,63/G
play,6,0,460700,,,K
play,6,0,445191,,,43/G
play,6,1,446904,,,K
play,6,1,489267,,,S8/G
play,6,1,488826,,,K
play,6,1,489152,,,S7/G.1-2
play,6,1,454653,,,7/F
play,7,0,453029,,,K
play,7,0,459928,,,3/G
play,7,0,458693,,,K
play,7,1,461343,,,NP
sub,452770,Vince Davis,0,0,1
play,7,1,461343,,,E5
play,7,1,458246,,,2/PF
play,7,1,488715,,,PO1(13)
play,7,1,488715,,,K
play,8,0,456795,,,K
play,8,0,457937,,,7/F
play,8,0,489712,,,K
play,8,1,452325,,,K
play,8,1,446904,,,63/G
play,8,1,489267,,,S7/G
play,8,1,488826,,,SB2
play,8,1,488826,,,W
play,8,1,489152,,,43/G
play,9,0,465674,,,9/F
play,9,0,460700,,,S8/G
play,9,0,445191,,,SB2
play,9,0,445191,,,9/F
play,9,0,453029,,,WP.2-3
play,9,0,453029,,,8/F
play,9,1,454653,,,NP
sub,448600,Daniel Pohlman,0,0,1
play,9,1,461343,,,NP
sub,460700,Edwin Roman,0,1,7
play,9,1,458246,,,NP
sub,453029,Gregory Thomson,0,3,9
play,9,1,488715,,,NP
sub,489110,Joel Melendez,0,4,8
play,9,1,454653,,,S7/G
play,9,1,461343,,,D9/F.1-3
play,9,1,458246,,,T8/F.2-H;3-H
play,9,1,488715,,,K23
play,9,1,452325,,,63/G.3-H
play,9,1,446904,,,K
id,BilPIO200507070
info,visteam,MisPIO
info,hometeam,BilPIO
info,date,2005/07/07
start,460700,Edwin Roman,0,1,9
start,489277,Rusty Ryal,0,2,5
start,458693,Bryan Byrne,0,3,3
start,459928,Osvaldo Diaz,0,4,7
start,456795,Will Crouch,0,5,10
start,451801,Jayson Santiago,0,6,8
start,467790,Ricardo Cruz,0,7,4
start,489712,Mike DeCarlo,0,8,2
start,465674,Pedro Ciriaco,0,9,6
start,446275,Matthew Green,0,0,1
start,458721,Brandon Roberts,1,1,8
start,489267,Adam Rosales,1,2,6
start,488826,Michael De Jesus,1,3,4
start,489152,Benjamin Mummy,1,4,3
start,454653,JD Roberts,1,5,10
start,446422,Michael Griffin,1,6,5
start,461343,Jordan Belcher,1,7,9
start,446224,Christopher Denove,1,8,2
start,446904,Kenny Lewis,1,9,7
start,457567,Charles Fisher,1,0,1
play,1,0,460700,,,43/G
play,1,0,489277,,,S6/G
play,1,0,458693,,,46(1)3/GDP/G4
play,1,1,458721,,,53/BG
play,1,1,489267,,,W
play,1,1,488826,,,WP.1-2
play,1,1,488826,,,43/G.2-3
play,1,1,489152,,,K
play,2,0,459928,,,53/G
play,2,0,456795,,,S8/G
