id,ChaIL200505090
info,visteam,OttIL
info,hometeam,ChaIL
info,date,2005/05/09
play,4,0,408252,,,D8/F.1-H
play,4,0,425866,,,3/G
play,4,1,150032,,,3/P
play,4,1,435042,,,HR/F
play,4,1,119853,,,41/G
play,4,1,406550,,,S9/F
play,4,1,400021,,,43/G
play,5,0,136726,,,E5
play,5,0,407577,,,3/G.1-2
play,5,0,434939,,,K
play,5,0,431138,,,6/P
play,5,1,115263,,,43/G
play,5,1,150399,,,D9/F
play,5,1,462441,,,8/F
play,5,1,434601,,,5/P
play,6,0,150325,,,HR/F
play,6,0,150130,,,S8/F
play,6,0,446928,,,NP
sub,407856,John Stephens,1,0,1
play,6,0,446928,,,8/F
play,6,0,408252,,,16(1)3/GDP/G1
play,6,1,150032,,,3/G
play,6,1,435042,,,K
play,6,1,119853,,,7/F
play,7,0,425866,,,W
play,7,0,136726,,,5/L
play,7,0,407577,,,E4/TH.1-2
play,7,0,434939,,,D8/F.1-3;2-H
play,7,0,431138,,,8/SF.2-3;3-H
play,7,0,150325,,,S9/F.3-H
play,7,0,150130,,,K
play,7,1,406550,,,9/F
play,7,1,400021,,,HR/F
play,7,1,115263,,,5/L
play,7,1,150399,,,53/G
play,8,0,446928,,,W
play,8,0,408252,,,4/P
play,8,0,425866,,,S9/L.1-3
play,8,0,136726,,,54(1)3/GDP/G5
play,8,1,462441,,,NP
sub,425507,Fernando Cabrera,0,0,1
play,8,1,462441,,,7/F
play,8,1,434601,,,4/P
play,8,1,150032,,,W
play,8,1,435042,,,6/P
play,9,0,407577,,,63/G
play,9,0,434939,,,HP
play,9,0,431138,,,7/F
play,9,0,150325,,,WP.1-2
play,9,0,150325,,,7/F
play,9,1,119853,,,8/F
play,9,1,406550,,,K
play,9,1,400021,,,K
id,ChaIL200505160
info,visteam,BufIL
info,hometeam,ChaIL
info,date,2005/05/16
start,408252,Brandon Phillips,0,1,6
start,425506,Jody Gerut,0,2,8
start,136726,Mike Kinkade,0,3,10
start,150325,Jeff Liefer,0,4,3
start,434939,Ryan Garko,0,5,2
