id,MidTEX200505040
info,visteam,TulTEX
info,hometeam,MidTEX
info,date,2005/05/04
start,451796,Steven Bondurant,1,0,1
play,1,0,449138,,,63/G
play,1,0,457434,,,43/G
play,1,0,437593,,,7/F
play,1,1,456577,,,8/L
play,1,1,473029,,,7/F
play,1,1,444843,,,3/G
play,2,0,454441,,,T9/F
play,2,0,236155,,,9/F
play,2,0,441067,,,DGR/F9.3-H
play,2,0,456006,,,K+SB3
play,2,0,400129,,,S7/L.3-H
play,2,0,434698,,,FC6/G.1X2(64)
play,2,1,450196,,,S9/L
play,2,1,425851,,,4(1)3/G4/GDP
play,2,1,459322,,,K
play,3,0,449138,,,W
play,3,0,457434,,,K
play,3,0,437593,,,W.1-2
play,3,0,454441,,,W.1-2;2-3
play,3,0,236155,,,9/SF.1-2;2-3;3-H
play,3,0,441067,,,S8/L.2-H;3-H
play,3,0,456006,,,FC6/G.1X2(64)
play,3,1,452712,,,K
play,3,1,460183,,,9/L
play,3,1,461769,,,7/F
play,4,0,400129,,,63/G
play,4,0,434698,,,W
play,4,0,449138,,,FC6/G.1X2(64);B-1
play,4,0,457434,,,S7/L.1-2
play,4,0,437593,,,7/F
play,4,1,456577,,,563/G5
play,4,1,473029,,,43/G
play,4,1,444843,,,S8/G
play,4,1,450196,,,163/G1
play,5,0,454441,,,43/G
play,5,0,236155,,,W
play,5,0,441067,,,NP
sub,456729,Kyle Crowell,1,0,1
play,5,0,441067,,,SB2
play,5,0,441067,,,WP.2-3
play,5,0,441067,,,K
play,5,0,456006,,,S7/G.3-H
play,5,0,400129,,,K
play,5,1,425851,,,S8/G
play,5,1,459322,,,7/F
play,5,1,452712,,,S8/L.1-2
play,5,1,460183,,,14(1)3/GDP/G1
play,6,0,434698,,,3/P
play,6,0,449138,,,63/G
play,6,0,457434,,,S9/L
play,6,0,437593,,,K
play,6,1,461769,,,143/G1
play,6,1,456577,,,9/F
play,6,1,473029,,,9/F
play,7,0,454441,,,13/G
play,7,0,236155,,,43/G
play,7,0,441067,,,63/G
play,7,1,444843,,,S6/G
play,7,1,450196,,,HR/F.1-H
play,7,1,425851,,,9/F
play,7,1,459322,,,6/P
play,7,1,452712,,,2/PF
play,8,0,456006,,,NP
sub,446629,Nick Brannon,1,0,1
play,8,0,456006,,,K
play,8,0,400129,,,63/G
play,8,0,434698,,,9/F
play,8,1,460183,,,NP
sub,449084,Andy Schutzenhofer,0,8,3
play,8,1,461769,,,NP
sub,408246,Anthony Ferrari,0,0,1
play,8,1,460183,,,K23
play,8,1,461769,,,K
play,8,1,456577,,,53/G
play,9,0,449138,,,NP
sub,447643,Leonard Landeros,1,0,1
play,9,0,449138,,,4/P
play,9,0,457434,,,S8/G
play,9,0,437593,,,PB.1-2
play,9,0,437593,,,K
play,9,0,454441,,,13/G
play,9,1,473029,,,4/P
play,9,1,444843,,,S9/L
play,9,1,450196,,,7/F
play,9,1,425851,,,W.1-2
play,9,1,459322,,,8/F
id,MidTEX200505240
info,visteam,SprTEX
info,hometeam,MidTEX
info,date,2005/05/24
start,457434,Kevin Estrada,0,1,6
start,449084,Andy Schutzenhofer,0,2,3
start,437593,Tyler Minges,0,3,9
start,454441,Travis Hanson,0,4,5
start,236155,Robinson Cancel,0,5,2
start,456006,Aaron Herr,0,6,4
start,449138,Shaun Boyd,0,7,7
start,400129,Juan Diaz,0,8,10
start,434698,Reid Gorecki,0,9,8
start,456421,Stuart Pomeranz,0,0,1
start,461769,Steve Stanley,1,1,8
start,459322,Brian Stavisky,1,2,10
start,444843,Andre Ethier,1,3,7
start,450196,Brant Colamarino,1,4,3
start,434634,Jason Perry,1,5,9
start,425851,Jeremy Brown,1,6,2
start,473029,Francis Gomez,1,7,6
start,460183,Lloyd Turner,1,8,5
start,456577,Mark Kiger,1,9,4
start,450194,Stephen Obenchain,1,0,1
play,1,0,457434,,,W
