MLBAM,First,Last,Bats,Throws,M,D,Y
465748,Fernando,Encarnacion,R,R,7,23,1985
465749,Greldis,Francisco,,,,,
543046,Brian,Conley,L,R,05,07,1986
462564,Daniel,Uggla,R,R,3,11,1980
543041,Zachary,Collier,L,L,09,08,1990
452646,Cody,Haerther,L,R,7,14,1983
595001,Joshua,Smith,R,R,08,07,1987
595000,Jake,Smith,R,R,09,25,1987
452643,Dan,Cevette,L,L,10,19,1983
543049,Henry,Contreras,R,R,05,05,1986
595005,Ryan,Strausborger,R,R,03,04,1988
452640,Aaron,Williams,R,R,10,07,1980
421685,Aaron,Harang,R,R,5,09,1978
421684,Chris,Snelling,L,L,12,03,1981
573094,Michael,Planeta,R,R,10,17,1989
435844,Chris,Snusz,R,R,11,8,1972
461247,Patrick,Boran,B,R,8,08,1980
461246,Jeffrey,Mackor,R,R,6,17,1980
548092,Ken,Takahashi,L,L,4,16,1968
461243,David,Pahucki,R,R,10,17,1980
548091,Nicholas,Bidois,R,R,06,09,1992
457929,Bo,Lanier,R,R,11,20,1982
457928,Andrew,Kown,L,R,10,07,1982
543595,Chris,Notti,R,R,09,03,1988
572946,Patrick,Irvine,R,L,01,27,1986
518838,Franklin,Jacobs,R,R,11,25,1988
516368,Yeison,Almeida,R,R,03,30,1990
457921,Justin,Hoyman,R,R,4,17,1982
457920,Brian,Hoff,R,R,1,28,1982
518837,Justin,Jackson,R,R,12,11,1988
518836,Garth,Iorg,R,R,09,06,1985
457925,Neil,Jamison,R,R,8,04,1983
518830,Brock,Huntzinger,R,R,07,02,1988
518833,Colt,Hynes,L,L,05,30,1985
457926,Paul,Janish,R,R,10,12,1982
136580,Kirk,Bullinger,R,R,10,28,1969
136582,Hector,Ortiz,R,R,10,14,1969
543590,Kirk,Nieuwenhuis,L,R,08,07,1987
573708,John,Santiago,R,R,10,10,1988
573709,Alejandro,Villa,R,R,1,1,1950
443545,Rayner,Laya,R,R,9,30,1980
443542,Sandy,Aracena,R,R,1,3,1981
446529,John,Santor,B,R,11,16,1981
519302,Luke,Sommer,L,L,06,22,1985
456541,Austin,Easley,R,R,1,15,1982
446527,Derell,McCall,R,R,9,22,1981
434298,Todd,Coffey,R,R,9,09,1980
452241,Garrett,Mock,R,R,4,25,1983
502627,Tyreace,House,R,R,03,01,1988
502625,Chris,Anderson,L,L,03,14,1986
502624,Chase,Anderson,R,R,11,30,1987
502623,Brandon,Rice,R,R,1,11,1988
502622,Ted,Serro,R,R,10,02,1984
502621,Tobi,Stoner,B,R,12,03,1984
502620,Mark,Thomas,R,R,05,05,1988
447658,Marcos,Mendoza,L,L,10,31,1980
447659,Todd,Pennington,R,R,4,6,1980
452258,Jason,Martinez,L,L,12,29,1981
455979,Gabriel,Sosa,L,L,9,27,1985
452254,Hunter,Pence,R,R,4,13,1983
455976,Nick,Markakis,L,L,11,17,1983
455977,Douglas,Vroman,R,R,2,09,1981
447656,Jeff,Muessig,R,R,2,27,1982
455971,Jamie,Lehman,R,R,3,14,1985
455972,Zach,Dixon,L,L,11,29,1980
455973,Jason,Furrow,R,L,12,31,1984
421024,Julio,Mateo,R,R,8,02,1977
444524,Polin,Trinidad,L,L,11,19,1984
553973,Carlos,Alvarado,R,R,10,22,1989
519013,Eddie,McKiernan,R,R,03,21,1989
425882,Tommy,Phelps,L,L,3,04,1974
456543,Zak,Farkes,R,R,5,30,1983
435714,Tommy,Watkins,R,R,6,18,1980
594750,Hamilton,Bennett,R,L,06,26,1988
526908,Jan,Baldee,R,R,12,08,1990
111228,Pedro,Borbon,L,L,11,15,1967
518541,Dallas,Cawiezell,R,R,09,04,1985
594755,Paul,Bingham,R,R,03,07,1988
543289,Jeremy,Heatley,R,R,12,17,1987
469071,Maruis,Loupadiere,R,R,4,28,1985
572017,Red,Patterson,R,R,05,11,1987
547818,Leandro,Mejia,R,R,06,04,1990
547817,Angel,Reyes,R,R,12,13,1987
425858,Dave,Krynzel,L,L,11,07,1981
425859,Russ,Adams,L,R,8,30,1980
132660,Jolbert,Cabrera,R,R,12,8,1972
460592,Dan,Eisentrager,R,R,12,30,1980
425851,Jeremy,Brown,R,R,10,25,1979
