id,BilPIO200606220
info,visteam,GrePIO
info,hometeam,BilPIO
info,date,2006/06/22
play,7,1,458214,,,D7/L.B-3(E)
play,7,1,453362,,,53/G.3-H
play,7,1,453211,,,7/F
play,7,1,501846,,,W
play,7,1,501926,,,43/G
play,8,0,455696,,,9/F
play,8,0,462503,,,9/FF
play,8,0,460002,,,9/F
play,8,1,453120,,,S8/L
play,8,1,502317,,,6/P
play,8,1,501909,,,54(1)3/GDP/G5
play,9,0,455079,,,NP
sub,458156,James Morris,1,0,1
play,9,0,489121,,,W
play,9,0,455079,,,D8/L.1-3
play,9,0,488919,,,1/L
play,9,0,453230,,,7/F
play,9,0,491965,,,9/F
id,BilPIO200606250
info,visteam,HelPIO
info,hometeam,BilPIO
info,date,2006/06/25
start,455079,Stephen Chapman,0,1,8
start,488919,Taylor Green,0,2,4
start,453230,Chris Errecart,0,3,9
start,501895,Andy Bouchie,0,4,2
start,503225,J. R. Hopf,0,5,3
start,460002,Jordan Swaydan,0,6,10
start,462503,Fredy De La Cruz,0,7,5
start,455696,Carlos De La Cruz,0,8,7
start,489121,Brad Miller,0,9,6
start,489226,Mike Ramlow,0,0,1
start,458214,Billy Rojo,1,1,4
start,453362,Chris Valaika,1,2,6
start,453211,Drew Stubbs,1,3,8
start,501846,Logan Parker,1,4,3
start,501926,Jason Louwsma,1,5,5
start,453120,Angel Colon,1,6,10
start,502317,Chris Heisey,1,7,7
start,460005,Justin Tordi,1,8,2
start,455705,Maikol Mesa,1,9,9
start,473659,Daniel Guerrero,1,0,1
play,1,0,455079,,,43/G
play,1,0,488919,,,8/F
play,1,0,453230,,,K+PB.B-1
play,1,0,501895,,,K
play,1,1,458214,,,W
play,1,1,453362,,,S9/L.1-2
play,1,1,453211,,,S7/G.1-2;2-H
play,1,1,501846,,,46(1)3/GDP/G4.2-3
play,1,1,501926,,,43/G
play,2,0,503225,,,53/G
play,2,0,460002,,,53/G
play,2,0,462503,,,9/F
play,2,1,453120,,,2/PF
play,2,1,502317,,,3/PF
play,2,1,460005,,,53/G
play,3,0,455696,,,S7/L
play,3,0,489121,,,463/G4.1-2
play,3,0,455079,,,8/F.2-3
play,3,0,488919,,,53/G
play,3,1,455705,,,53/G
play,3,1,458214,,,D9/L.BX3(945)
play,3,1,453362,,,S8/G
play,3,1,453211,,,9/F
play,4,0,453230,,,8/L
play,4,0,501895,,,S9/G
play,4,0,503225,,,S7/F.1-2
play,4,0,460002,,,8/F
play,4,0,462503,,,63/G
play,4,1,501846,,,43/G
play,4,1,501926,,,43/G
play,4,1,453120,,,8/L
play,5,0,455696,,,4/P
play,5,0,489121,,,53/G
play,5,0,455079,,,S9/L
play,5,0,488919,,,CS2
play,5,1,502317,,,S8/L
play,5,1,460005,,,13/SH.1-2
play,5,1,455705,,,WP.2-3
play,5,1,455705,,,K
play,5,1,458214,,,43/G
play,6,0,488919,,,E6/TH
play,6,0,453230,,,16(1)3/GDP/G1
play,6,0,501895,,,53/G
play,6,1,453362,,,NP
sub,501873,Mike McClendon,0,0,1
play,6,1,453362,,,13/G
play,6,1,453211,,,9/F
play,6,1,501846,,,K
play,7,0,503225,,,NP
sub,456496,Marcos Mateo,1,0,1
play,7,0,503225,,,43/G
play,7,0,460002,,,43/G
play,7,0,462503,,,5/P
play,7,1,501926,,,5/L
play,7,1,453120,,,S7/G
play,7,1,502317,,,S7/L.1-2
play,7,1,460005,,,54(1)3/GDP/G5
play,8,0,455696,,,63/G
play,8,0,489121,,,3/L
play,8,0,455079,,,S6/G
play,8,0,488919,,,5/PF
play,8,1,455705,,,K23
play,8,1,458214,,,S7/L
play,8,1,453362,,,FC5/G.1X2(54);B-1
play,8,1,453211,,,T9/L.1-H
play,8,1,501846,,,NP
sub,496528,Steve Palazzolo,0,0,1
play,8,1,501846,,,W
play,8,1,501926,,,K
play,9,0,453230,,,NP
sub,450313,Terrell Young,1,0,1
play,9,0,453230,,,63/G
play,9,0,501895,,,K
play,9,0,503225,,,W
play,9,0,460002,,,K
id,BilPIO200607030
info,visteam,MisPIO
info,hometeam,BilPIO
info,date,2006/07/03
start,453197,Daniel Perales,0,1,7
start,502348,Matthew Oxendine,0,2,6
start,467827,Gerardo Parra,0,3,9
start,501927,Connor Janes,0,4,3
start,453270,Justin Brashear,0,5,10
start,452105,John Hester,0,6,2
start,467790,Ricardo Cruz,0,7,5
start,502632,Sean Smith,0,8,4
start,502461,Tyler Jones,0,9,8
start,502248,Daniel Fournier,0,0,1
start,458214,Billy Rojo,1,1,10
start,457759,Justin Turner,1,2,4
start,453362,Chris Valaika,1,3,6
start,501846,Logan Parker,1,4,3
start,453211,Drew Stubbs,1,5,8
start,457760,Daniel Dorn,1,6,7
start,453120,Angel Colon,1,7,5
start,502183,Michael McKennon,1,8,9
start,460005,Justin Tordi,1,9,2
start,446162,Sean Watson,1,0,1
play,1,0,453197,,,8/F
play,1,0,502348,,,W
play,1,0,467827,,,E6.1-3
play,1,0,501927,,,FC6/G.1X2(64);3-H;B-1
play,1,0,453270,,,SB2;1-3(E2/TH)
play,1,0,453270,,,5/PF
play,1,1,458214,,,63/G
play,1,1,457759,,,HP
play,1,1,453362,,,9/F
play,1,1,501846,,,SB2
play,1,1,501846,,,W
play,1,1,453211,,,FC6/G.1X2(6)
