id,MidTEX200604160
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2006/04/16
start,450196,Brant Colamarino,1,4,3
start,435559,Kurt Suzuki,1,5,2
start,448590,Kevin Melillo,1,6,4
start,435561,Brian Snyder,1,7,5
start,460607,Vasili Spanos,1,8,10
start,452712,Matthew Allegra,1,9,8
start,454456,Brad Knox,1,0,1
play,1,0,451573,,,E3
play,1,0,placeholder,,,PO1(?3)
play,1,0,464281,,,8/F
play,1,0,459943,,,13/G
play,1,1,460183,,,63/G
play,1,1,444912,,,4/P
play,1,1,456035,,,D9/L
play,1,1,450196,,,43/G
play,2,0,434605,,,43/G
play,2,0,445933,,,43/G
play,2,0,455748,,,31/G
play,2,1,435559,,,D8/F
play,2,1,448590,,,8/F
play,2,1,435561,,,W
play,2,1,460607,,,FC5/G.1X2(54);2-3;B-1
play,2,1,452712,,,D7/L.1-H;3-H
play,2,1,460183,,,3/PF
play,3,0,461882,,,53/G
play,3,0,461820,,,HR/F
play,3,0,455752,,,S8/G
play,3,0,451573,,,W.1-2
play,3,0,464281,,,7/F
play,3,0,459943,,,W.1-2;2-3
play,3,0,434605,,,D7/L.1-H;2-H;3-H
play,3,0,445933,,,S9/G.2-H
play,3,0,455748,,,3/P
play,3,1,444912,,,53/G
play,3,1,456035,,,8/F
play,3,1,450196,,,S7/L
play,3,1,435559,,,W.1-2
play,3,1,448590,,,7/F
play,4,0,461882,,,8/F
play,4,0,461820,,,E5
play,4,0,455752,,,8/F
play,4,0,451573,,,PO1(13)
play,4,1,435561,,,D9/L
play,4,1,460607,,,S8/G.2-H
play,4,1,452712,,,8/F
play,4,1,460183,,,HR/L.1-H
play,4,1,444912,,,K
play,4,1,456035,,,W
play,4,1,450196,,,343/G3
play,5,0,451573,,,W
play,5,0,464281,,,NP
sub,460571,David Bradley,1,0,1
play,5,0,464281,,,64(1)3/GDP/G6
play,5,0,459943,,,S8/G
play,5,0,434605,,,K
play,5,1,435559,,,63/G
play,5,1,448590,,,K
play,5,1,435561,,,S7/L
play,5,1,460607,,,W.1-2
play,5,1,452712,,,9/F
play,6,0,445933,,,8/F
play,6,0,455748,,,43/G
play,6,0,461882,,,HR/F
play,6,0,461820,,,8/F
play,6,1,460183,,,NP
sub,445941,Brandon Moorhead,0,0,1
play,6,1,460183,,,HP
play,6,1,444912,,,W.1-2
play,6,1,456035,,,8/F.2-3
play,6,1,450196,,,D9/L.1-3;3-H
play,6,1,435559,,,FC1.2-3;3XH(12);B-2
play,6,1,448590,,,1/G
play,7,0,455752,,,NP
sub,452075,Connor Robertson,1,0,1
play,7,0,455752,,,143/G1
play,7,0,451573,,,13/G
play,7,0,464281,,,S1/BG
play,7,0,459943,,,W.1-2
play,7,0,434605,,,K
play,7,1,435561,,,S8/L
play,7,1,460607,,,K
play,7,1,452712,,,S7/F.1-2
