id,BoiNWL200506260
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2005/06/26
play,8,0,488897,,,SB2
play,8,0,459431,,,PO2(E?).2-3
play,8,0,488897,,,W
play,8,0,459431,,,S7/G.1-3;3-H
play,8,0,489279,,,NP
sub,456092,Edgar Baez,1,0,1
play,8,0,489279,,,8/SF.3-H
play,8,0,490563,,,W.1-2
play,8,0,488853,,,3/G.1-2;2-3
play,8,0,451178,,,63/G
play,8,1,448293,,,NP
sub,458213,Oliver Arias,0,0,1
play,8,1,473222,,,NP
sub,452727,Casey Craig,0,6,10
play,8,1,448293,,,K
play,8,1,473222,,,S7/G
play,8,1,445208,,,W.1-2
play,8,1,460100,,,46(1)3/GDP/G4
play,9,0,450285,,,W
play,9,0,489818,,,K
play,9,0,452727,,,SB2
play,9,0,452727,,,S7/G.2-3
play,9,0,488897,,,W.1-2
play,9,0,459431,,,8/SF.3-H
play,9,0,489279,,,S7/G.1-3;2-H
play,9,0,490563,,,4/P
play,9,1,489356,,,NP
sub,465599,Edgar Guaramato,0,0,1
play,9,1,489356,,,53/G
play,9,1,461861,,,D8/F
play,9,1,456989,,,K
play,9,1,472505,,,63/G
id,BoiNWL200507060
