id,ChaIL200604140
info,visteam,PawIL
info,hometeam,ChaIL
info,date,2006/04/14
play,3,1,455755,,,S5/BG.1-2;2-3
play,3,1,434601,,,S9/F.1-3;2-H;3-H
play,3,1,435539,,,NP
sub,400153,David Espinosa,0,5,7
play,3,1,123689,,,NP
sub,430605,Ryan Raburn,0,8,4
play,3,1,435220,,,NP
sub,407789,Alex Herrera,0,0,1
play,3,1,435539,,,HR/F.1-H;3-H
play,3,1,123689,,,3/P
play,3,1,435220,,,S9/L
play,3,1,435222,,,D9/F.1-3
play,3,1,462413,,,S7/L.2-3;3-H
play,3,1,279565,,,54(1)3/GDP/G5
play,4,0,367893,,,W
play,4,0,400153,,,FC6/G.1X2(64);B-1
play,4,0,407886,,,8/F
play,4,0,425634,,,HR/F.1-H
play,4,0,430605,,,7/F
play,4,1,121252,,,D9/F
play,4,1,455755,,,13/G
play,4,1,434601,,,K
play,4,1,435539,,,K
play,5,0,425833,,,63/G
play,5,0,276523,,,E3
play,5,0,407918,,,6(1)3/G6/GDP
play,5,1,123689,,,53/G
play,5,1,435220,,,63/G
play,5,1,435222,,,63/G
play,6,0,435219,,,K
play,6,0,367893,,,K
play,6,0,400153,,,S6/G
play,6,0,407886,,,W.1-2
play,6,0,425634,,,FC6/G.1X2(64)
play,6,1,462413,,,NP
sub,434589,Mark Woodyard,0,0,1
play,6,1,462413,,,W
play,6,1,279565,,,5/PF
play,6,1,121252,,,6/P
play,6,1,455755,,,D8/F.1-H
play,6,1,434601,,,3/PF
play,7,0,430605,,,NP
sub,434603,Paulino Reynoso,1,0,1
play,7,0,430605,,,HR/F
play,7,0,425833,,,8/F
play,7,0,276523,,,63/G
play,7,0,407918,,,S3/G
play,7,0,435219,,,53/G
play,7,1,435539,,,NP
sub,280059,Hector Mercado,0,0,1
play,7,1,435539,,,7/F
play,7,1,123689,,,K
play,7,1,435220,,,S9/G
play,7,1,435222,,,9/F
play,8,0,367893,,,K
play,8,0,400153,,,W
play,8,0,407886,,,S5/G.1-2
play,8,0,425634,,,W.1-2;2-3
play,8,0,430605,,,W.1-2;2-3;3-H
play,8,0,425833,,,9/F
play,8,0,276523,,,43/G
play,8,1,462413,,,NP
sub,407795,John Ennis,0,0,1
play,8,1,462413,,,W
play,8,1,279565,,,K
play,8,1,121252,,,D7/L.1-3
play,8,1,455755,,,43/G.2-3;3-H
play,8,1,434601,,,6/L
play,9,0,407918,,,NP
sub,434600,Sean Tracey,1,0,1
play,9,0,407918,,,D8/L
play,9,0,435219,,,31/G.2-3
play,9,0,367893,,,K
play,9,0,400153,,,K
id,ChaIL200604200
info,visteam,TolIL
info,hometeam,ChaIL
info,date,2006/04/20
start,276523,Tike Redman,0,1,8
start,407918,Kevin Hooper,0,2,6
start,435219,Jack Hannahan,0,3,4
start,150482,Josh Phelps,0,4,3
start,407886,Ryan Ludwick,0,5,9
start,425634,Mike Hessman,0,6,5
start,430605,Ryan Raburn,0,7,7
start,400153,David Espinosa,0,8,10
start,435523,Brian Peterson,0,9,2
start,406876,Lance Davis,0,0,1
start,435539,Jerry Owens,1,1,8
start,123689,Jorge Velandia,1,2,6
start,435220,Ryan Sweeney,1,3,9
start,435222,Josh Fields,1,4,5
start,462413,Angel Gonzalez,1,5,4
start,121252,Ruben Rivera,1,6,10
start,279565,Darren Blakely,1,7,7
start,124696,Ernie Young,1,8,3
start,455755,Chris Stewart,1,9,2
start,150159,Stephen Randolph,1,0,1
play,1,0,276523,,,9/F
play,1,0,407918,,,53/G
play,1,0,435219,,,K
play,1,1,435539,,,6/P
play,1,1,123689,,,S7/L
play,1,1,435220,,,S9/L.1-2
play,1,1,435222,,,9/F
play,1,1,462413,,,8/F
play,2,0,150482,,,K
play,2,0,407886,,,4/PF
play,2,0,425634,,,7/F
play,2,1,121252,,,HR/L
play,2,1,279565,,,D9/L
play,2,1,124696,,,D7/L.2-H
play,2,1,455755,,,63/G
play,2,1,435539,,,S8/L.2-H
play,2,1,123689,,,D7/L.1-H
play,2,1,435220,,,8/F.2-3
play,2,1,435222,,,W
play,2,1,462413,,,S9/G.1-2;3-H
play,2,1,121252,,,SB3
play,2,1,121252,,,W.1-2
play,2,1,279565,,,FC4/G.1X2(46)
play,3,0,430605,,,W
play,3,0,400153,,,S9/F.1-2
play,3,0,435523,,,HR/F.1-H;2-H
play,3,0,276523,,,S8/L
play,3,0,407918,,,53/G.1-2
play,3,0,435219,,,43/G.2-3
